"id","name","kapazitaet","gebaeude","adresse"
"ZS14","Projektraum 14 - Achtung! Werkraum, kein Seminarraum!","25","AA - Hauptgebäude","Karlsplatz 13, Hauptgebäude, Stiege 4, 1. Stock"
"XKEG13","Projektraum 2","40","XK - Ausweichquatier","Mattiellistraße 2-4,"
"ZS2","Projektraum 2 - Achtung! Werkraum, kein Seminarraum!","25","AA - Hauptgebäude","Karlsplatz 13, Hauptgebäude, Stiege 4, 3. Stock"
"ZS8","Projektraum 8 - Achtung! Werkraum, kein Seminarraum!","25","AA - Hauptgebäude","Karlsplatz 13, Hauptgebäude, Stiege 4, 3.Stock"
"AC0230","Projektraum DAP 1/259","32","AA - Hauptgebäude","Karlsplatz 13,"
"2532","Projektraum GBL - 2/253 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7"
"AF0326","Projektraum GSTL - 253-06 - Achtung Werkraum! Kein Seminarraum!","40","AA - Hauptgebäude","Karlsplatz 13,"
"S6","Projektraum HB1 - 6/253 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13,"
"2537","Projektraum HB2 - 7/253 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7"
"2534","Projektraum RG - 4/253 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7, Dachgeschoß"
"5260","Projektraum STB - 5/260 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7"
"2533","Projektraum WB - 3/253 - Achtung! Werkraum, kein Seminarraum!","20","AA - Hauptgebäude","Karlsplatz 13, Stiege 7"
"BC01A50","Raum Madsen","5","BC - Lehartrakt","Lehargasse 4,"
"ACEG12","Raumlabor","20","AA - Hauptgebäude","Karlsplatz 13,"
"CG0118","Sem 389","30","CF - Haupttrakt","Gußhausstraße 25-25a, 1. Stock"
"DA02E08","Sem.R. DA grün 02 A - GEO","44","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"DA02F16","Sem.R. DA grün 02 B - GEO","40","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, grüner Bereich, 2. OG"
"DA02F20","Sem.R. DA grün 02 C - GEO","18","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, , Turm A, grüner Bereich, 2. OG"
"101A","Sem.R. DA grün 03 A","48","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 3. OG"
"101B","Sem.R. DA grün 03 B","32","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 3. OG"
"101C","Sem.R. DA grün 04","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 4. OG"
"104","Sem.R. DA grün 05","60","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 5. OG"
"107","Sem.R. DA grün 06A","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 6. OG"
"1016","Sem.R. DA grün 06B","16","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 6. OG"
"325/2","Sem.R. DB gelb 03","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 3. OG"
"105A","Sem.R. DB gelb 04","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 4.OG"
"134","Sem.R. DB gelb 05 A","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 5. OG"
"134A","Sem.R. DB gelb 05 B","24","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 5. OG"
"138A","Sem.R. DB gelb 07","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 7. OG"
"138C","Sem.R. DB gelb 09","29","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 9. OG"
"136","Sem.R. DB gelb 10","29","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 10. OG"
"138B","Sem.R. DC rot 07","24","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm C, roter Bereich, 7. OG"
"OC 01 I27","Seminarraum 1","54","OC - Arsenal, Obj. 236","Lilienthalgasse 14,"
"1071","Seminarraum 107/1","24","AP - Goldenes Lamm","Wiedner Hauptstraße 7,"
"123","Seminarraum 127","34","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29, Stiege 1"
"OC 01 H23","Seminarraum 2","66","OC - Arsenal, Obj. 236","Lilienthalgasse 14,"
"OC 01 E23","Seminarraum 3","34","OC - Arsenal, Obj. 236","Lilienthalgasse 14,"
"CH0236","Seminarraum 362 - 1","36","CH - ZMNS","Gußhausstraße 25-25a,"
"351","Seminarraum 363","50","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29, Stiege 1"
"122","Seminarraum 366","36","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29, Stiege 3"
"CD0204","Seminarraum 384","36","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29,"
"387","Seminarraum 387","30","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29, Stiege 2, Erdgeschoß"
"2503","Seminarraum 8","20","AA - Hauptgebäude","Karlsplatz 13, Hof 2, Stiege 7, ebenerdig"
"ZS15","Seminarraum AA 02 – 1","35","AA - Hauptgebäude","Karlsplatz 13, Hauptgebäude, Stiege1, 2. Stock"
"AA0352","Seminarraum AA 03 - 1 - CEE","50","AA - Hauptgebäude","Karlsplatz 13,"
"AC0246","Seminarraum AC 02 - 1 - UIW","36","AA - Hauptgebäude","Karlsplatz 13, Karlsplatz 13, 2. Stock, Stiege 5"
"AC0240","Seminarraum AC 02 - 2","36","AA - Hauptgebäude","Karlsplatz 13, Karlsplatz 13, 2. Stock, Stiege 5"
"AC0340","Seminarraum AC 03 - 1","29","AA - Hauptgebäude","Karlsplatz 13,"
"AC0440","Seminarraum AC0440","50","AA - Hauptgebäude","Karlsplatz 13, 4. OG"
"ACEG01","Seminarraum ACEG01 Executive Learning Space","34","AA - Hauptgebäude","Karlsplatz 13,"
"222","Seminarraum AD 03 - 1","46","AA - Hauptgebäude","Karlsplatz 13, Stiege 5"
"AEU103","Seminarraum AE U1 - 1","30","AA - Hauptgebäude","Karlsplatz 13,"
"AEU107","Seminarraum AE U1 - 2","26","AA - Hauptgebäude","Karlsplatz 13,"
"AEU115","Seminarraum AE U1 - 3","24","AA - Hauptgebäude","Karlsplatz 13,"
"AEU119","Seminarraum AE U1 - 4","40","AA - Hauptgebäude","Karlsplatz 13,"
"AEU125","Seminarraum AE U1 - 5","40","AA - Hauptgebäude","Karlsplatz 13,"
"AEU131","Seminarraum AE U1 - 6","24","AA - Hauptgebäude","Karlsplatz 13,"
"AEU140","Seminarraum AE U1 - 7","52","AA - Hauptgebäude","Karlsplatz 13,"
"234","Seminarraum AEEG-1","25","AA - Hauptgebäude","Karlsplatz 13, Stiege 2"
"AF0222","Seminarraum AF 02 - 1 CEE","24","AA - Hauptgebäude","Karlsplatz 13,"
"AF0228","Seminarraum AF 02 - 2 CEE","24","AA - Hauptgebäude","Karlsplatz 13,"
"AF0312","Seminarraum AF 03-1","20","AA - Hauptgebäude","Karlsplatz 13,"
"ARG","Seminarraum Argentinierstrasse","50","EA - Institutsgebäude","Argentinierstraße 8, Argentinierstrasse 8 od. Paniglgasse, EG"
"SEM BA 02A","Seminarraum BA 02A","36","BA - Plus Energie Büro Hochhaus","Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG"
"SEM BA 02B","Seminarraum BA 02B","63","BA - Plus Energie Büro Hochhaus","Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG"
"SEM BA 02C","Seminarraum BA 02C","22","BA - Plus Energie Büro Hochhaus","Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG"
"BA03 D13","Seminarraum BA 03/ Prüfungszimmer Dekanat","10","BA - Plus Energie Büro Hochhaus","Getreidemarkt 9,"
"SEM BA 05","Seminarraum BA 05 - MB","40","BA - Plus Energie Büro Hochhaus","Getreidemarkt 9, Bauteil BA Hochhaus, 5.OG"
"SEM BA 08A","Seminarraum BA 08A - MB","40","BA - Plus Energie Büro Hochhaus","Getreidemarkt 9, Bauteil BA Hochhaus, 8.OG"
"SEM BA 08B","Seminarraum BA 08B - MB","30","BA - Plus Energie Büro Hochhaus","Getreidemarkt 9, Bauteil BA Hochhaus, 8.OG"
"SR BA 10B","Seminarraum BA 10B - MB","30","BA - Plus Energie Büro Hochhaus","Getreidemarkt 9, Bauteil BA Hochhaus, 10.OG"
"SEM BD 02C","Seminarraum BD 02C","18","BD - Hoftrakt","Lehargasse 6, Bauteil BD Hoftrakt,2.OG"
"307A","Seminarraum BD 03","24","BD - Hoftrakt","Lehargasse 6, Bauteil BD Hoftrakt, 3.OG"
"SEMBE02","Seminarraum BE 01","25","BE - Lückenbau","Gumpendorfer Straße 7, Bauteil BE Lückenbau, 1.OG"
"166S-5","Seminarraum BH 03 Biotechnologie","10","BH - Institutsgebäude","Gumpendorfer Straße 1a, Bauteil BH Gumpendorferstr., EG"
"1665","Seminarraum BH Biosciences","25","BH - Institutsgebäude","Gumpendorfer Straße 1a, Bauteil BH Gumpendorferstr., EG"
"CA0322","Seminarraum CA0322 (Ersatz Proj.-Raum 15)","36","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29,"
"CF 01 53","Seminarraum CF 01 53","20","CF - Haupttrakt","Gußhausstraße 25-25a,"
"CHEG34","Seminarraum CHEG - ETIT","30","CH - ZMNS","Gußhausstraße 25-25a,"
"DE0110","Seminarraum DE0110","30","DE - Institutsgebäude","Treitlstraße 3,"
"EBEG03","Seminarraum EB EG-1 - RPL","12","EB - Institutsgebäude","Karlsgasse 11,"
"EBEG09","Seminarraum EBEG-2 - RPL","32","EB - Institutsgebäude","Karlsgasse 11,"
"EBEG20","Seminarraum EBEG-3 - RPL","30","EB - Institutsgebäude","Karlsgasse 11,"
"EBU103","Seminarraum EBU1-1 - RPL","16","EB - Institutsgebäude","Karlsgasse 11,"
"EBU109","Seminarraum EBU1-2 - RPL","30","EB - Institutsgebäude","Karlsgasse 11,"
"EBU120","Seminarraum EBU1-3 - RPL","18","EB - Institutsgebäude","Karlsgasse 11,"
"1832","Seminarraum FAV 01 A (Seminarraum 183/2)","22","HA - Institutsgebäude","Favoritenstraße 9-11, 1. Obergeschoß"
"1872","Seminarraum FAV 01 B (Seminarraum 187/2)","25","HA - Institutsgebäude","Favoritenstraße 9-11, 1. Obergeschoß"
"1882","Seminarraum FAV 01 C (Seminarraum 188/2)","30","HA - Institutsgebäude","Favoritenstraße 9-11, 1. Obergeschoß"
"186","Seminarraum FAV 05 (Seminarraum 186)","36","HA - Institutsgebäude","Favoritenstraße 9-11, 5. Obergeschoß"
"HAEG02","Seminarraum FAV EG A","30","HA - Institutsgebäude","Favoritenstraße 9-11,"
"SEMN","Seminarraum FAV EG B (Seminarraum von Neumann)","18","HA - Institutsgebäude","Favoritenstraße 9-11, Erdgeschoß"
"SEMG","Seminarraum FAV EG C (Seminarraum Gödel)","30","HA - Institutsgebäude","Favoritenstraße 9-11, Erdgeschoß"
"Lehar 01","Seminarraum Lehar 01","18","BC - Lehartrakt","Lehargasse 4, Bauteil BC Lehartrakt, 1.OG"
"Lehar 02","Seminarraum Lehar 02","18","BC - Lehartrakt","Lehargasse 4, Bauteil BC Lehartrakt, 2.OG"
"1633","Seminarraum Lehar 03","18","BC - Lehartrakt","Lehargasse 4, Bauteil BC Lehartrakt, 3.OG"
"LeharEG","Seminarraum Lehar EG","18","BC - Lehartrakt","Lehargasse 4, Bauteil BC Lehartrakt, EG"
"OAEGC11","Seminarraum O221-1","25","OA - Objekt 221","Franz-Grill-Straße 2-4,"
"OAEGC45","Seminarraum O221-2","25","OA - Objekt 221","Franz-Grill-Straße 2-4,"
"OD0122","Seminarraum OD 01 - 1","23","OD - Arsenal OD","Lilienthalgasse 21,"
"SETI","Seminarraum Techn. Informatik","23","DE - Institutsgebäude","Treitlstraße 3, ZUGANG ÜBER OPERNGASSE 9, Erdgeschoß"
"ZE0105","Seminarraum ZE 01 - 1","30","ZE - Stadionallee 2 Neubau","Stadionallee 2,"
"BF02C23","Studierendenlabor","7","BF - Institutsgebäude","Getreidemarkt 9,"
"DE ZE 24","TILab Raum 1","9","DE - Institutsgebäude","Treitlstraße 3,"
"DE ZE 32","TILab Raum 2","9","DE - Institutsgebäude","Treitlstraße 3,"
"DE ZE 40","TILab Raum 3","9","DE - Institutsgebäude","Treitlstraße 3,"
"DE ZE 64","TILab Raum 4","11","DE - Institutsgebäude","Treitlstraße 3,"
"DE ZE 72","TILab Raum 5","3","DE - Institutsgebäude","Treitlstraße 3,"
"DCEGD19","TU.it Internet-Raum FH1","30","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"DCEGD15","TU.it Internet-Raum FH1A","9","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"BAU162","TU.it Internet-Raum GM1 PC Labor","17","BA - Plus Energie Büro Hochhaus","Getreidemarkt 9, BA UG"
"DCEGJ15","TU.it Schulungsraum","12","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"FCEG14H","TVFA Halle - Achtung! Ausstellungsraum/Werkraum","300","FB - Erzherzog-Johann-Pl. 1","Erzherzog-Johann-Platz 1,"
"BBEGL17","Technikum","25","BB - Eckbau","Getreidemarkt 9,"
"THE1","Theresianumgasse HS 1 - MWB","67","XQ - Außenstandort","Theresianumgasse 27,"
"THE2","Theresianumgasse HS 2","21","XQ - Außenstandort","Theresianumgasse 27,"
"BD 04 B33","Vortragsraum Konstruktionslehre","8","BD - Hoftrakt","Lehargasse 6, 4. Obergeschoss"
"HIEG08","Werkstatt","7","HA - Institutsgebäude","Favoritenstraße 9-11,"
"CD0104","Werkstoffelabor","12","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29,"
"DA 08 E10","Zeichensaal 1","40","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"DA07A05","Zeichensaal 3","80","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"CF0335","Zeichensaal CF0335","20","CF - Haupttrakt","Gußhausstraße 25-25a,"
"BIU1G18","Zentralgarderobe BIU1","218","BI - Loschmitdt Trakt","Getreidemarkt 9,"
"EAEG 19","complang-Labor","26","EA - Institutsgebäude","Argentinierstraße 8,"
